日付け,終値
2016.8.30,1312.81
2016.8.31,1329.54
2016.9.1,1337.38
2016.9.2,1340.76
2016.9.5,1343.85
2016.9.6,1352.58
2016.9.7,1349.53
2016.9.8,1345.95
2016.9.9,1343.86
2016.9.12,1323.10
2016.9.13,1322.99
2016.9.14,1314.74
2016.9.15,1301.11
2016.9.16,1311.50
2016.9.20,1316.97
2016.9.21,1352.67
2016.9.23,1349.56
2016.9.26,1335.84
2016.9.27,1349.22
2016.9.28,1330.77
2016.9.29,1343.25
2016.9.30,1322.78
2016.10.3,1330.72
2016.10.4,1340.21
2016.10.5,1347.81
2016.10.6,1353.93
2016.10.7,1350.61
2016.10.11,1356.35
2016.10.12,1342.35
2016.10.13,1342.31
2016.10.14,1347.19
2016.10.17,1352.56
2016.10.18,1356.57
2016.10.19,1357.20
2016.10.20,1370.80
2016.10.21,1365.29
2016.10.24,1367.61
2016.10.25,1377.32
2016.10.26,1382.70
2016.10.27,1382.01
2016.10.28,1392.41
2016.10.31,1393.02
2016.11.1,1393.19
2016.11.2,1368.44
2016.11.4,1347.04
2016.11.7,1362.80
2016.11.8,1363.49
2016.11.9,1301.16
2016.11.10,1376.35
2016.11.11,1378.28
2016.11.14,1400.00
2016.11.15,1402.98
2016.11.16,1421.65
2016.11.17,1423.08
2016.11.18,1428.46
2016.11.21,1442.93
2016.11.22,1447.50
2016.11.24,1459.96
2016.11.25,1464.53
2016.11.28,1469.58
2016.11.29,1468.57
2016.11.30,1469.43
2016.12.1,1483.27
2016.12.2,1477.98
2016.12.5,1466.96
2016.12.6,1477.20
2016.12.7,1490.62
2016.12.8,1512.69
2016.12.9,1525.36
2016.12.12,1531.43
2016.12.13,1540.25
2016.12.14,1538.69
2016.12.15,1542.72
2016.12.16,1550.67
2016.12.19,1549.06
2016.12.20,1552.36
2016.12.21,1544.94
2016.12.22,1543.82
2016.12.26,1538.14
2016.12.27,1536.22
2016.12.28,1536.80
2016.12.29,1518.39
2016.12.30,1518.61
2017.1.4,1554.48
2017.1.5,1555.68
2017.1.6,1553.32
2017.1.10,1542.31
2017.1.11,1550.40
2017.1.12,1535.41
2017.1.13,1544.89
2017.1.16,1530.64
2017.1.17,1509.10
2017.1.18,1513.86
2017.1.19,1528.15
2017.1.20,1533.46
2017.1.23,1514.63
2017.1.24,1506.33
2017.1.25,1521.58
2017.1.26,1545.01
2017.1.27,1549.25
2017.1.30,1543.77
2017.1.31,1521.67
2017.2.1,1527.77
2017.2.2,1510.41
2017.2.3,1514.99
2017.2.6,1520.42
2017.2.7,1516.15
2017.2.8,1524.15
2017.2.9,1513.55
2017.2.10,1546.56
2017.2.13,1554.20
2017.2.14,1539.12
2017.2.15,1553.69
2017.2.16,1551.07
2017.2.17,1544.54
2017.2.20,1547.01
2017.2.21,1555.60
2017.2.22,1557.09
2017.2.23,1556.25
2017.2.24,1550.14
2017.2.27,1534.00
2017.2.28,1535.32
2017.3.1,1553.09
2017.3.2,1564.69
2017.3.3,1558.05
2017.3.6,1554.90
2017.3.7,1555.04
2017.3.8,1550.25
2017.3.9,1554.68
2017.3.10,1574.01
2017.3.13,1577.40
2017.3.14,1574.90
2017.3.15,1571.31
2017.3.16,1572.69
2017.3.17,1565.85
2017.3.21,1563.42
2017.3.22,1530.20
2017.3.23,1530.41
2017.3.24,1543.92
2017.3.27,1524.39
2017.3.28,1544.83
2017.3.29,1542.07
2017.3.30,1527.59
2017.3.31,1512.60
2017.4.3,1517.03
2017.4.4,1504.54
2017.4.5,1504.66
2017.4.6,1480.18
2017.4.7,1489.77
2017.4.10,1499.65
2017.4.11,1495.10
2017.4.12,1479.54
2017.4.13,1468.31
2017.4.14,1459.07
2017.4.17,1465.69
2017.4.18,1471.53
2017.4.19,1471.42
2017.4.20,1472.81
2017.4.21,1488.58
2017.4.24,1503.19
2017.4.25,1519.21
2017.4.26,1537.41
2017.4.27,1536.67
2017.4.28,1531.80
2017.5.1,1539.77
2017.5.2,1550.30
2017.5.8,1585.86
2017.5.9,1581.77
2017.5.10,1585.19
2017.5.11,1586.86
2017.5.12,1580.71
2017.5.15,1580.00
2017.5.16,1584.23
2017.5.17,1575.82
2017.5.18,1555.01
2017.5.19,1559.73
2017.5.22,1567.65
2017.5.23,1565.22
2017.5.24,1575.11
2017.5.25,1578.42
2017.5.26,1569.42
2017.5.29,1570.21
2017.5.30,1572.67
2017.5.31,1568.37
2017.6.1,1586.14
2017.6.2,1612.20
2017.6.5,1609.97
2017.6.6,1596.44
2017.6.7,1597.09
2017.6.8,1590.41
2017.6.9,1591.66
2017.6.12,1591.55
2017.6.13,1593.51
2017.6.14,1591.77
2017.6.15,1588.09
2017.6.16,1596.04
2017.6.19,1606.07
2017.6.20,1617.25
2017.6.21,1611.56
2017.6.22,1610.38
2017.6.23,1611.34
2017.6.26,1612.21
2017.6.27,1619.02
2017.6.28,1614.37
2017.6.29,1624.07
2017.6.30,1611.90
2017.7.3,1614.41
2017.7.4,1609.70
2017.7.5,1618.63
2017.7.6,1615.53
2017.7.7,1607.06
2017.7.10,1615.48
2017.7.11,1627.14
2017.7.12,1619.34
2017.7.13,1619.11
