日付け,終値
2018.2.14,49000
2018.2.19,48380
2018.2.20,47400
2018.2.21,47280
2018.2.22,46760
2018.2.23,47220
2018.2.26,47380
2018.2.27,47380
2018.2.28,47060
2018.3.2,46020
2018.3.5,45200
2018.3.6,47020
2018.3.7,48620
2018.3.8,49200
2018.3.9,49740
2018.3.12,49740
2018.3.13,51660
2018.3.14,51760
2018.3.15,51540
2018.3.16,51140
2018.3.19,50740
2018.3.20,51200
2018.3.21,51060
2018.3.22,51780
2018.3.23,49720
2018.3.26,50280
2018.3.27,49980
2018.3.28,48700
2018.3.29,49040
2018.3.30,49220
2018.4.2,48540
2018.4.3,48120
2018.4.4,46920
2018.4.5,48740
2018.4.6,48400
2018.4.9,49200
2018.4.10,48880
2018.4.11,48860
2018.4.12,49000
2018.4.13,49800
2018.4.16,50340
2018.4.17,49980
2018.4.18,51360
2018.4.19,52780
2018.4.20,51620
2018.4.23,51900
2018.4.24,50460
2018.4.25,50400
2018.4.26,52140
2018.4.27,53000
2018.4.30,53000
2018.5.2,53000
2018.5.3,53000
2018.5.4,51900
2018.5.8,52600
2018.5.9,50900
2018.5.10,51600
2018.5.11,51300
2018.5.14,50100
2018.5.15,49200
2018.5.16,49850
2018.5.17,49400
2018.5.18,49500
2018.5.21,50000
2018.5.23,51800
2018.5.24,51400
2018.5.25,52700
2018.5.28,52300
2018.5.29,51300
2018.5.30,49500
2018.5.31,50700
2018.6.1,51300
2018.6.4,51100
2018.6.5,51300
2018.6.7,50600
2018.6.8,49650
2018.6.11,49900
2018.6.12,49400
2018.6.14,48200
2018.6.15,47650
2018.6.18,46600
2018.6.19,47000
2018.6.20,47000
2018.6.21,47050
2018.6.22,47250
2018.6.25,46650
2018.6.26,47000
2018.6.27,47950
2018.6.28,46800
2018.6.29,46650
2018.7.2,45550
2018.7.3,46150
2018.7.4,46250
2018.7.5,45950
2018.7.6,44900
2018.7.9,45600
2018.7.10,46300
2018.7.11,46000
2018.7.12,45500
2018.7.13,46500
2018.7.16,46050
2018.7.17,45850
2018.7.18,46550
2018.7.19,46900
2018.7.20,47450
2018.7.23,46500
2018.7.24,46150
2018.7.25,46150
2018.7.26,46900
2018.7.27,46900
2018.7.30,46500
2018.7.31,46250
2018.8.1,46550
2018.8.2,45550
2018.8.3,45750
2018.8.6,45800
2018.8.7,46700
2018.8.8,46800
2018.8.9,46900
2018.8.10,45400
2018.8.13,45050
2018.8.14,45150
2018.8.16,44250
2018.8.17,44100
2018.8.20,43850
2018.8.21,44800
2018.8.22,46100
2018.8.23,46200
2018.8.24,46150
2018.8.27,46300
2018.8.28,46550
2018.8.29,46800
2018.8.30,47650
2018.8.31,48450
2018.9.3,47450
2018.9.4,47650
2018.9.5,46600
2018.9.6,46100
2018.9.7,44900
2018.9.10,45500
2018.9.11,45050
2018.9.12,44550
2018.9.13,44050
2018.9.14,45850
2018.9.17,45150
2018.9.18,45500
2018.9.19,46150
2018.9.20,47250
2018.9.21,47400
2018.9.27,47500
2018.9.28,46450
2018.10.1,46350
2018.10.2,45700
2018.10.4,44700
2018.10.5,44700
2018.10.8,44950
2018.10.10,45300
2018.10.11,43100
2018.10.12,44000
2018.10.15,43800
2018.10.16,43600
2018.10.17,44150
2018.10.18,44050
2018.10.19,43900
2018.10.22,43550
2018.10.23,43050
2018.10.24,42550
2018.10.25,41000
2018.10.26,41000
2018.10.29,41400
2018.10.30,42350
2018.10.31,42400
2018.11.1,42150
2018.11.2,44150
2018.11.5,43800
2018.11.6,43750
2018.11.7,44000
2018.11.8,44050
2018.11.9,44300
2018.11.12,45200
2018.11.13,44500
2018.11.14,44100
